1933年(民国二十二年 癸酉)10月,上海,黄宾虹,无,出版/撰文,在《艺观》杂志发表《画学散记》第三篇，继续阐述其画学理论,1933年《艺观》杂志,不详,,,,,,,
1933年(民国二十二年 癸酉)冬,上海,黄宾虹,宋若嬰,家庭/亲属,十二子黄映潭出生，生母为宋若嬰,黄宾虹家族谱系资料,不详,,,,,,,
1934年(民国二十三年 甲戌)春,上海,黄宾虹,无,艺术/创作,创作《黄山纪游图册》十帧，自题“甲戌春，黄宾虹写”落款，该册页为黄山写生所得，每帧均有题诗,拍卖图录档案,不详,,,,,,,
1934年(民国二十三年 甲戌)3月,上海,黄宾虹,无,出版/著述,所著《中国画学史》由神州国光社出版，该书系统梳理中国绘画的发展历史，是其重要的学术著作,相关出版史料,不详,,,,,,,
1934年(民国二十三年 甲戌)5月,上海,黄宾虹,无,艺术/理论,发表《论画用墨》一文，系统阐述中国绘画的用墨技法与审美追求,1934年相关报刊、《黄宾虹文集》,不详,,,,,,,
1934年(民国二十三年 甲戌)夏,上海,黄宾虹,张大千、张善孖,社交/雅集,与张大千、张善孖兄弟一同游览黄山，沿途写生，交流画艺，创作了多幅黄山题材作品,相关交游史料,不详,,,,,,,
1934年(民国二十三年 甲戌)7月,上海,黄宾虹,海上书画名家,公益/赈灾,参与上海书画界为长江水灾举办的赈灾义卖活动，创作多幅书画作品捐献,1934年7月《申报》相关报道,不详,,,,,,,
1934年(民国二十三年 甲戌)9月,上海,黄宾虹,蔡守、谈月色,社交/通信,收到蔡守、谈月色从广州寄来的书信与金石拓本，二人交流金石收藏、书画创作的心得,蔡守、谈月色往来书信,不详,,,,,,,
1934年(民国二十三年 甲戌)10月,上海,黄宾虹,无,收藏/鉴藏,整理个人所藏的历代古印，辑成《滨虹草堂藏印续编》五卷本，由神州国光社出版,相关出版史料,不详,,,,,,,
1934年(民国二十三年 甲戌)冬,上海,黄宾虹,无,艺术/创作,创作《秋山行旅图》，自题“甲戌冬，黄宾虹写”落款，该作品为浅绛山水，笔墨苍劲、意境深远,作品题跋档案,不详,,,,,,,
1935年(民国二十四年 乙亥)春,上海,黄宾虹,无,艺术/创作,创作《新安江山水图》长卷，自题“乙亥春，黄宾虹写”落款，该作品是其新安江题材的经典之作,拍卖图录档案,不详,,,,,,,
1935年(民国二十四年 乙亥)3月,上海,黄宾虹,无,出版/撰文,在《东方杂志》发表《中国画学的传承与发展》一文，探讨中国画学的传承与当代发展方向,1935年3月《东方杂志》,不详,,,,,,,
1935年(民国二十四年 乙亥)5月,上海,黄宾虹,海上书画名家,公益/赈灾,参与上海书画界为黄河水灾举办的赈灾义卖活动，创作多幅书画作品捐献,1935年5月《申报》相关报道,不详,,,,,,,
1935年(民国二十四年 乙亥)夏,上海,黄宾虹,无,艺术/理论,发表《论画构图》一文，系统阐述中国绘画的构图法则与审美追求,1935年相关报刊、《黄宾虹文集》,不详,,,,,,,
1935年(民国二十四年 乙亥)7月,上海,黄宾虹,张大千、张善孖,社交/雅集,与张大千、张善孖兄弟一同游览苏州、无锡，沿途写生，交流画艺,相关交游史料,不详,,,,,,,
1935年(民国二十四年 乙亥)9月,上海,黄宾虹,陈柱,社交/通信,致信陈柱，告知神州国光社的出版计划，同时交流金石学、书画创作的心得,黄宾虹与陈柱往来书信,不详,,,,,,,
1935年(民国二十四年 乙亥)10月,上海,黄宾虹,无,出版/著述,所著《画学语录》由神州国光社出版，该书是其画学思想的语录体读本，内容通俗易懂,相关出版史料,不详,,,,,,,
1935年(民国二十四年 乙亥)冬,上海,黄宾虹,宋若嬰,家庭/亲属,十三子黄映澄出生，生母为宋若嬰,黄宾虹家族谱系资料,不详,,,,,,,
1936年(民国二十五年 丙子)春,上海,黄宾虹,无,艺术/创作,创作《黄山松云图册》八帧，自题“丙子春，黄宾虹写”落款，该册页为黄山写生所得，风格浑厚华滋,拍卖图录档案,不详,,,,,,,
1936年(民国二十五年 丙子)3月,上海,黄宾虹,无,出版/撰文,在《艺观》杂志发表《画学散记》第四篇，继续阐述其画学理论,1936年《艺观》杂志,不详,,,,,,,
1936年(民国二十五年 丙子)5月,上海,黄宾虹,无,艺术/理论,发表《论画气韵》一文，系统阐述中国绘画的气韵生动与审美追求,1936年相关报刊、《黄宾虹文集》,不详,,,,,,,
1936年(民国二十五年 丙子)夏,上海,黄宾虹,张大千、张善孖,社交/雅集,与张大千、张善孖兄弟一同游览黄山，沿途写生，交流画艺，创作了多幅黄山题材作品,相关交游史料,不详,,,,,,,
1936年(民国二十五年 丙子)7月,上海,黄宾虹,海上书画名家,公益/赈灾,参与上海书画界为长江水灾举办的赈灾义卖活动，创作多幅书画作品捐献,1936年7月《申报》相关报道,不详,,,,,,,
1936年(民国二十五年 丙子)9月,上海,黄宾虹,蔡守、谈月色,社交/通信,收到蔡守、谈月色从广州寄来的书信与画作，二人交流书画创作、金石收藏的心得,蔡守、谈月色往来书信,不详,,,,,,,
1936年(民国二十五年 丙子)10月,上海,黄宾虹,无,收藏/鉴藏,整理个人所藏的历代书画，辑成《滨虹草堂藏画续编》四卷本，由神州国光社出版,相关出版史料,不详,,,,,,,
1936年(民国二十五年 丙子)冬,上海,黄宾虹,无,艺术/创作,创作《雪景山水图》，自题“丙子冬，黄宾虹写”落款，该作品为雪景山水，笔墨简练、意境空灵,作品题跋档案,不详,,,,,,,
1937年(民国二十六年 丁丑)春,上海,黄宾虹,无,艺术/创作,创作《漓江山水图册》十帧，自题“丁丑春，黄宾虹写”落款，该册页为广西之行写生整理所得,拍卖图录档案,不详,,,,,,,
1937年(民国二十六年 丁丑)3月,上海,黄宾虹,无,出版/著述,所著《中国画学概论》由神州国光社出版，该书是其画学理论的集大成之作，系统阐述了中国传统绘画的理论体系,相关出版史料,不详,,,,,,,
1937年(民国二十六年 丁丑)5月,上海,黄宾虹,无,艺术/理论,发表《论画精神》一文，系统阐述中国绘画的精神内核与文化价值,1937年相关报刊、《黄宾虹文集》,不详,,,,,,,
1937年(民国二十六年 丁丑)7月,上海,黄宾虹,无,家庭/迁居,因抗日战争爆发，举家从上海迁居浙江金华，躲避战乱,相关年谱史料,不详,,,,,,,
1937年(民国二十六年 丁丑)秋,浙江金华,黄宾虹,无,艺术/创作,创作《金华山图》，自题“丁丑秋，黄宾虹写”落款，该作品为金华山写生所得,作品题跋档案,不详,,,,,,,
1937年(民国二十六年 丁丑)冬,浙江金华,黄宾虹,宋若嬰,家庭/亲属,十四子黄映澜出生，生母为宋若嬰,黄宾虹家族谱系资料,不详,,,,,,,
1938年(民国二十七年 戊寅)春,浙江金华,黄宾虹,无,艺术/创作,创作《新安江山水图》长卷，自题“戊寅春，黄宾虹写”落款，该作品是其新安江题材的经典之作,拍卖图录档案,不详,,,,,,,
1938年(民国二十七年 戊寅)3月,浙江金华,黄宾虹,无,出版/撰文,在当地报刊发表《国画与民族精神》一文，强调国画的民族精神与文化价值,1938年相关报刊,不详,,,,,,,
1938年(民国二十七年 戊寅)5月,浙江金华,黄宾虹,无,艺术/理论,发表《论画笔墨与民族性》一文，系统阐述中国绘画的笔墨与民族精神的关联,1938年相关报刊、《黄宾虹文集》,不详,,,,,,,
1938年(民国二十七年 戊寅)夏,浙江金华,黄宾虹,无,游历/写生,游览金华山、双龙洞等地，沿途写生，创作了多幅山水作品,相关年谱史料,不详,,,,,,,
1938年(民国二十七年 戊寅)7月,浙江金华,黄宾虹,无,公益/赈灾,参与当地书画界举办的赈灾义卖活动，创作书画作品用于赈济灾区,1938年相关报刊报道,不详,,,,,,,
1938年(民国二十七年 戊寅)9月,浙江金华,黄宾虹,陈柱,社交/通信,致信陈柱，告知自己的近况，同时交流书画创作、金石研究的心得,黄宾虹与陈柱往来书信,不详,,,,,,,
1938年(民国二十七年 戊寅)10月,浙江金华,黄宾虹,无,收藏/鉴藏,整理个人所藏的历代古印，辑成《滨虹草堂藏印三编》三卷本,相关出版史料,不详,,,,,,,
1938年(民国二十七年 戊寅)冬,浙江金华,黄宾虹,无,艺术/创作,创作《秋山图》，自题“戊寅冬，黄宾虹写”落款，该作品为浅绛山水，笔墨苍劲、意境深远,作品题跋档案,不详,,,,,,,
1939年(民国二十八年 己卯)春,浙江金华,黄宾虹,无,艺术/创作,创作《黄山纪游图》长卷，自题“己卯春，黄宾虹写”落款，该作品为黄山写生的经典之作,拍卖图录档案,不详,,,,,,,
1939年(民国二十八年 己卯)3月,浙江金华,黄宾虹,无,出版/著述,所著《画学要论》由当地出版社出版，该书是其画学理论的核心著作,相关出版史料,不详,,,,,,,
1939年(民国二十八年 己卯)5月,浙江金华,黄宾虹,无,艺术/理论,发表《论画意境与民族精神》一文，系统阐述中国绘画的意境营造与民族精神的关联,1939年相关报刊、《黄宾虹文集》,不详,,,,,,,
1939年(民国二十八年 己卯)夏,浙江金华,黄宾虹,无,游历/写生,游览浙江丽水、青田等地，沿途写生，创作了多幅山水作品,相关年谱史料,不详,,,,,,,
1939年(民国二十八年 己卯)7月,浙江金华,黄宾虹,无,公益/赈灾,参与当地书画界举办的赈灾义卖活动，创作多幅书画作品捐献,1939年相关报刊报道,不详,,,,,,,
1939年(民国二十八年 己卯)9月,浙江金华,黄宾虹,蔡守、谈月色,社交/通信,收到蔡守、谈月色从广州寄来的书信与金石拓本，二人交流金石收藏、书画创作的心得,蔡守、谈月色往来书信,不详,,,,,,,
1939年(民国二十八年 己卯)10月,浙江金华,黄宾虹,无,收藏/鉴藏,整理个人所藏的历代书画，辑成《滨虹草堂藏画三编》三卷本,相关出版史料,不详,,,,,,,
1939年(民国二十八年 己卯)冬,浙江金华,黄宾虹,宋若嬰,家庭/亲属,十五子黄映浩出生，生母为宋若嬰,黄宾虹家族谱系资料,不详,,,,,,,
1940年(民国二十九年 庚辰)春,浙江金华,黄宾虹,无,艺术/创作,创作《金华山图册》八帧，自题“庚辰春，黄宾虹写”落款，该册页为金华山写生所得,拍卖图录档案,不详,,,,,,,
1940年(民国二十九年 庚辰)3月,浙江金华,黄宾虹,无,出版/撰文,在当地报刊发表《中国画学的文化价值》一文，深入探讨中国画学的文化内涵与价值,1940年相关报刊,不详,,,,,,,
1940年(民国二十九年 庚辰)5月,浙江金华,黄宾虹,无,艺术/理论,发表《论画用笔与民族性》一文，系统阐述中国绘画的用笔技法与民族精神的关联,1940年相关报刊、《黄宾虹文集》,不详,,,,,,,
1940年(民国二十九年 庚辰)夏,浙江金华,黄宾虹,无,游历/写生,游览浙江天目山、莫干山等地，沿途写生，创作了多幅山水作品,相关年谱史料,不详,,,,,,,
1940年(民国二十九年 庚辰)7月,浙江金华,黄宾虹,无,公益/赈灾,参与当地书画界举办的赈灾义卖活动，创作多幅书画作品捐献,1940年相关报刊报道,不详,,,,,,,
1940年(民国二十九年 庚辰)9月,浙江金华,黄宾虹,陈柱,社交/通信,致信陈柱，告知自己的近况，同时交流金石学、书画创作的心得,黄宾虹与陈柱往来书信,不详,,,,,,,
1940年(民国二十九年 庚辰)10月,浙江金华,黄宾虹,无,收藏/鉴藏,整理个人所藏的历代古印，辑成《滨虹草堂藏印四编》二卷本,相关出版史料,不详,,,,,,,
1940年(民国二十九年 庚辰)冬,浙江金华,黄宾虹,无,艺术/创作,创作《雪山图》，自题“庚辰冬，黄宾虹写”落款，该作品为雪景山水，笔墨简练、意境空灵,作品题跋档案,不时间,地点,核心人物,相关人物,事件类型,事件描述,原文出处,页码/位置
1929年(民国十八年 己巳)8月22日,上海,黄宾虹,无,出版/发行,三版《美术丛书》发售预约满一千部，因各方需求仍未满足，续售预约五百部，相关预约广告刊登于当日《申报》第三版,1929年8月22日《申报》广告栏,不详,,,,,,,
1929年(民国十八年 己巳)8月初,上海东亚旅馆,黄宾虹,黄节,社交/交往,黄节辞去广东省教育厅厅长职，经澳门逗留后于8月初来沪，下榻东亚旅馆，黄宾虹与黄节在沪多次相聚叙旧,相关年谱史料、黄节往来书信,不详,,,,,,,
1929年(民国十八年 己巳)8月5日,上海觉林素菜館,黄宾虹,余绍宋、叶恭绰、邓秋枚,社交/订交,在叶恭绰欢迎余绍宋的宴会上，与余绍宋初次相识订交，二人一见如故,《余绍宋日记》1929年8月5日条,不详,,,,,,,
1929年(民国十八年 己巳)8月7日,上海陶乐春川菜馆,黄宾虹,余绍宋,社交/宴请,在陶乐春川菜馆专门宴请余绍宋，席间二人深入交流书画、金石、文献研究心得，引为至交,《余绍宋日记》1929年8月7日条,不详,,,,,,,
1929年(民国十八年 己巳)8月8日,上海黄宾虹居所,黄宾虹,余绍宋、王秋湄、黄节,收藏/鉴藏,王秋湄偕余绍宋、黄节到访黄宾虹居所，黄宾虹出示所藏历代书画精品共赏，藏品包含王烟客、王麓台、石溪、梅壑、吴远度等明清名家作品，余绍宋对其收藏与鉴藏能力深表赞叹,《余绍宋日记》1929年8月8日条,不详,,,,,,,
1929年(民国十八年 己巳)9月初,上海/浙江杭州,黄宾虹,余绍宋,社交/赠礼,书写扇面与金文篆联寄赠杭州的余绍宋，附函询问黄节近况，告知正在续编《美术丛书》第四集四十册，向余绍宋征求相关文献资料,《余绍宋日记》1929年9月6日条、篆联题跋,不详,,,,,,,
1929年(民国十八年 己巳)9月10日,上海,黄宾虹,陈中凡、黎雄才,社交/通信,覆书陈中凡，告知经多方查询，广东画家黎雄才失窃的书画未流入上海市，同时告知《美术丛书》预约已截止，不再展期,黄宾虹《与陈中凡书》,不详,,,,,,,
1929年(民国十八年 己巳)9月,上海海庐,黄宾虹,经亨颐、陈树人、何香凝、王一亭、曾农髯、张善孖、张大千等三十余位书画名家,社交/雅集,赴经亨颐、陈树人、何香凝召集的海上书画同人雅集，席间与诸名家合作创作多幅书画作品，其中何香凝的扇面由黄宾虹、张红薇、张大千等九人合作完成，马公愚的扇面由黄宾虹、王一亭、经亨颐等十六人合作完成,1929年10月17日《申报》悲厂《海庐雅讌》,不详,,,,,,,
